FTNT,10/31/2019,0.56,0.67,19.6
PSX,10/25/2019,2.6,3.11,19.6
AES,11/6/2019,0.4,0.48,20
LEN,10/2/2019,1.32,1.59,20.4
MRK,10/29/2019,1.25,1.51,20.8
NKE,9/24/2019,0.71,0.86,21.1
NLSN,11/7/2019,0.42,0.51,21.4
CTXS,10/24/2019,1.24,1.52,22.5
IVZ,10/23/2019,0.57,0.7,22.8
CNP,11/7/2019,0.43,0.53,23.2
NKTR,11/6/2019,-0.73,-0.56,23.2
DVA,11/5/2019,1.23,1.53,24.3
JWN,11/21/2019,0.65,0.81,24.6
GE,10/30/2019,0.12,0.15,25
MPC,10/31/2019,1.3,1.63,25.3
WDC,10/30/2019,0.27,0.34,25.9
INCY,10/29/2019,0.65,0.82,26.1
DOW,10/24/2019,0.72,0.91,26.3
XRX,10/29/2019,0.85,1.08,27
UAA,11/4/2019,0.18,0.23,27.7
ATVI,11/7/2019,0.25,0.32,28
KHC,10/31/2019,0.53,0.69,30.1
NWL,11/1/2019,0.56,0.73,30.3
F,10/23/2019,0.26,0.34,30.7
GRMN,10/30/2019,0.94,1.27,35.1
DVN,11/5/2019,0.19,0.26,36.8
ILMN,10/24/2019,1.4,1.93,37.8
NFLX,10/16/2019,1.05,1.47,40
GM,10/29/2019,1.18,1.72,45.7
IT,10/31/2019,0.45,0.7,55.5
INTU,11/21/2019,0.26,0.41,57.6
HP,11/14/2019,0.24,0.39,62.5
RE,10/28/2019,2.07,3.39,63.7
DRE,10/30/2019,0.37,0.62,67.5
MRO,11/6/2019,0.04,0.14,250
M,11/21/2019,0.01,0.07,600
