MCK,10/30/2019,3.60,3.60,0
NWSA,11/7/2019,0.04,0.04,0
OKE,10/29/2019,0.74,0.74,0
ORCL,9/11/2019,0.81,0.81,0
PPL,11/5/2019,0.61,0.61,0
RF,10/22/2019,0.39,0.39,0
RHI,10/23/2019,1.01,1.01,0
ROL,10/23/2019,0.22,0.22,0
SBUX,10/30/2019,0.70,0.70,0
SYK,10/29/2019,1.91,1.91,0
TSCO,10/24/2019,1.04,1.04,0
VAR,10/23/2019,1.21,1.21,0
WAT,10/29/2019,2.13,2.13,0
XYL,10/31/2019,0.82,0.82,0
WHR,10/22/2019,3.96,3.97,0.2
ALK,10/24/2019,2.62,2.63,0.3
BDX,11/5/2019,3.30,3.31,0.3
NSC,10/23/2019,2.57,2.58,0.3
AXP,10/18/2019,2.07,2.08,0.4
DE,11/27/2019,2.13,2.14,0.4
UPS,10/22/2019,2.06,2.07,0.4
AVGO,12/12/2019,5.36,5.39,0.5
RJF,10/23/2019,1.99,2.00,0.5
ZBH,11/5/2019,1.76,1.77,0.5
AEE,11/8/2019,1.46,1.47,0.6
AMG,10/28/2019,3.14,3.16,0.6
ANTM,10/23/2019,4.84,4.87,0.6
ETN,10/29/2019,1.51,1.52,0.6
SNA,10/17/2019,2.94,2.96,0.6
SRE,11/1/2019,1.49,1.50,0.6
ADP,10/30/2019,1.33,1.34,0.7
WLTW,10/31/2019,1.30,1.31,0.7
DHR,10/24/2019,1.15,1.16,0.8
VZ,10/25/2019,1.24,1.25,0.8
COO,12/5/2019,3.27,3.30,0.9
WELL,10/28/2019,1.04,1.05,0.9
