ROK,11/12/2019,1.92,2.01,4.6
CCI,10/16/2019,1.48,1.55,4.7
CHTR,10/25/2019,1.66,1.74,4.8
DISCA,11/7/2019,0.83,0.87,4.8
AME,10/31/2019,1.01,1.06,4.9
MDLZ,10/29/2019,0.61,0.64,4.9
NDAQ,10/23/2019,1.21,1.27,4.9
PKI,10/30/2019,1.01,1.06,4.9
PNC,10/16/2019,2.8,2.94,5
COP,10/29/2019,0.78,0.82,5.1
ITW,10/25/2019,1.94,2.04,5.1
AMAT,11/14/2019,0.76,0.8,5.2
KMX,9/24/2019,1.33,1.4,5.2
NEE,10/22/2019,2.27,2.39,5.2
CMCSA,10/24/2019,0.75,0.79,5.3
FLS,10/30/2019,0.56,0.59,5.3
REGN,11/5/2019,6.33,6.67,5.3
PNR,10/23/2019,0.55,0.58,5.4
SWK,10/24/2019,2.02,2.13,5.4
SPGI,10/29/2019,2.33,2.46,5.5
FL,11/22/2019,1.07,1.13,5.6
MSCI,10/31/2019,1.59,1.68,5.6
TXN,10/22/2019,1.41,1.49,5.6
ULTA,12/5/2019,2.13,2.25,5.6
ZTS,11/7/2019,0.89,0.94,5.6
FAST,10/11/2019,0.35,0.37,5.7
CDNS,10/21/2019,0.51,0.54,5.8
COST,10/3/2019,2.54,2.69,5.9
DUK,11/8/2019,1.69,1.79,5.9
FIS,11/5/2019,1.35,1.43,5.9
PM,10/17/2019,1.35,1.43,5.9
JNJ,10/15/2019,2,2.12,6
LRCX,10/23/2019,3,3.18,6
MXIM,10/29/2019,0.49,0.52,6.1
ROST,11/21/2019,0.97,1.03,6.1
SJM,11/22/2019,2.13,2.26,6.1
ORLY,10/23/2019,4.78,5.08,6.2
XOM,11/1/2019,0.64,0.68,6.2
INFO,9/24/2019,0.63,0.67,6.3
WMT,11/14/2019,1.09,1.16,6.4
